1,('C100', 'C250', 'C251', 'C253', 'C53', 'C55')
2,('C100', 'C1237', 'C251', 'C264', 'C53', 'C887')
3,('C100', 'C1760', 'C178', 'C245', 'C53', 'C55')
4,('C100', 'C250', 'C53', 'C685', 'C687', 'C89')
5,('C100', 'C1237', 'C250', 'C265', 'C53', 'C55')
6,('C100', 'C1237', 'C138', 'C265', 'C53', 'C891')
7,('C100', 'C138', 'C407', 'C53', 'C685', 'C89')
8,('C100', 'C138', 'C53', 'C55', 'C56')
9,('C100', 'C1237', 'C264', 'C265', 'C53', 'C891')
10,('C100', 'C1236', 'C253', 'C265', 'C53', 'C55')
11,('C100', 'C137', 'C264', 'C53', 'C861')
12,('C100', 'C250', 'C251', 'C253', 'C53', 'C887')
13,('C100', 'C147', 'C53', 'C55', 'C761', 'C92')
14,('C100', 'C2065', 'C245', 'C250', 'C407', 'C53')
15,('C100', 'C1237', 'C251', 'C264', 'C53', 'C55')
16,('C100', 'C1236', 'C250', 'C251', 'C53', 'C55')
17,('C100', 'C138', 'C147', 'C53', 'C55', 'C56')
18,('C100', 'C252', 'C53', 'C55', 'C56', 'C92')
19,('C100', 'C1237', 'C137', 'C264', 'C53', 'C55')
20,('C100', 'C53', 'C55', 'C56', 'C57')
21,('C100', 'C1015', 'C113', 'C253', 'C53', 'C856')
22,('C100', 'C138', 'C53', 'C56', 'C687', 'C89')
23,('C100', 'C1236', 'C250', 'C251', 'C53', 'C887')
24,('C100', 'C251', 'C253', 'C265', 'C53', 'C891')
25,('C100', 'C251', 'C253', 'C53', 'C851', 'C99')
26,('C100', 'C1236', 'C264', 'C265', 'C53', 'C55')
27,('C100', 'C147', 'C53', 'C55', 'C56', 'C57')
28,('C100', 'C137', 'C1691', 'C264', 'C53', 'C861')
29,('C100', 'C147', 'C253', 'C53', 'C55', 'C56')
30,('C100', 'C273', 'C53', 'C687', 'C89')
31,('C100', 'C138', 'C253', 'C53', 'C55', 'C56')
32,('C100', 'C147', 'C264', 'C53', 'C54', 'C55')
33,('C100', 'C251', 'C253', 'C53', 'C847', 'C99')
34,('C100', 'C233', 'C273', 'C53', 'C687', 'C89')
35,('C100', 'C194', 'C273', 'C53', 'C687', 'C89')
36,('C100', 'C137', 'C138', 'C53', 'C54', 'C55')
37,('C100', 'C1237', 'C137', 'C264', 'C53', 'C861')
38,('C100', 'C138', 'C1418', 'C53', 'C55', 'C56')
39,('C100', 'C1236', 'C138', 'C265', 'C53', 'C891')
40,('C100', 'C1236', 'C264', 'C265', 'C53', 'C891')
41,('C100', 'C1237', 'C264', 'C265', 'C53', 'C55')
42,('C100', 'C137', 'C251', 'C253', 'C53', 'C55')
43,('C100', 'C1237', 'C250', 'C251', 'C53', 'C887')
44,('C100', 'C1013', 'C113', 'C253', 'C53', 'C856')
45,('C100', 'C1006', 'C137', 'C253', 'C53', 'C55')
46,('C100', 'C137', 'C138', 'C194', 'C53', 'C55')
47,('C100', 'C147', 'C264', 'C53', 'C55', 'C56')
48,('C100', 'C178', 'C245', 'C407', 'C53', 'C55')
49,('C100', 'C1375', 'C253', 'C53', 'C55', 'C56')
50,('C100', 'C147', 'C264', 'C53', 'C55')
51,('C100', 'C137', 'C1691', 'C264', 'C53', 'C55')
52,('C100', 'C1237', 'C250', 'C251', 'C53', 'C55')
53,('C100', 'C253', 'C53', 'C56', 'C687', 'C89')
54,('C100', 'C137', 'C194', 'C264', 'C53', 'C55')
55,('C100', 'C250', 'C53', 'C687', 'C704', 'C89')
56,('C100', 'C253', 'C407', 'C53', 'C56', 'C89')
57,('C100', 'C1237', 'C137', 'C138', 'C53', 'C861')
