1,('C124', 'C12824', 'C2598', 'C381', 'C53', 'C66')
2,('C12824', 'C3550', 'C3563', 'C53', 'C559', 'C743')
3,('C12824', 'C2703', 'C3550', 'C53', 'C737', 'C743')
4,('C12824', 'C2598', 'C3564', 'C53', 'C559', 'C66')
5,('C12824', 'C2598', 'C3563', 'C3564', 'C53', 'C66')
6,('C12824', 'C16198', 'C3543', 'C3550', 'C53', 'C66')
7,('C12824', 'C3550', 'C3559', 'C53', 'C559', 'C66')
8,('C12824', 'C2622', 'C2626', 'C53', 'C66', 'C815')
9,('C12824', 'C3550', 'C3562', 'C53', 'C79', 'C94')
10,('C12824', 'C2598', 'C53', 'C66', 'C70', 'C738')
11,('C12824', 'C2622', 'C2626', 'C53', 'C62', 'C70')
12,('C12824', 'C2598', 'C381', 'C53', 'C62', 'C70')
13,('C12824', 'C3550', 'C4308', 'C53', 'C737', 'C743')
14,('C12824', 'C3550', 'C3561', 'C53', 'C559', 'C86')
15,('C12824', 'C3550', 'C3563', 'C4308', 'C53', 'C66')
16,('C124', 'C12824', 'C2598', 'C53', 'C66', 'C775')
17,('C12824', 'C3550', 'C3562', 'C3563', 'C53', 'C66')
18,('C12824', 'C2622', 'C2626', 'C53', 'C68')
19,('C12824', 'C2703', 'C3550', 'C53', 'C559', 'C66')
20,('C12824', 'C2703', 'C3550', 'C3563', 'C53', 'C743')
21,('C12824', 'C16258', 'C3550', 'C3559', 'C53', 'C66')
22,('C124', 'C12824', 'C2598', 'C53', 'C55', 'C738')
23,('C12824', 'C3550', 'C3562', 'C53', 'C94')
24,('C12824', 'C2622', 'C2626', 'C53', 'C70', 'C79')
25,('C12824', 'C2703', 'C3550', 'C53', 'C62', 'C70')
26,('C12824', 'C3550', 'C53', 'C559', 'C66')
27,('C12824', 'C3537', 'C3550', 'C53', 'C559', 'C66')
28,('C120', 'C12824', 'C2598', 'C53', 'C55', 'C775')
29,('C12824', 'C2598', 'C381', 'C53', 'C66', 'C70')
30,('C12824', 'C14502', 'C3280', 'C3550', 'C53', 'C66')
31,('C12824', 'C3550', 'C3562', 'C3563', 'C53', 'C743')
32,('C12824', 'C2598', 'C3563', 'C53', 'C738', 'C743')
33,('C12824', 'C2598', 'C53', 'C559', 'C66', 'C738')
34,('C12824', 'C2703', 'C3550', 'C53', 'C559', 'C86')
35,('C12824', 'C3550', 'C3561', 'C3562', 'C53', 'C94')
36,('C12824', 'C2598', 'C53', 'C62', 'C70', 'C742')
37,('C115', 'C12824', 'C2598', 'C53', 'C738', 'C743')
38,('C12824', 'C2611', 'C2626', 'C53')
39,('C12824', 'C1971', 'C2626', 'C53', 'C66', 'C819')
40,('C12824', 'C3550', 'C53', 'C559', 'C86')
41,('C12824', 'C2598', 'C3563', 'C3564', 'C53', 'C743')
42,('C124', 'C12824', 'C2626', 'C53', 'C55', 'C819')
43,('C124', 'C12824', 'C2598', 'C381', 'C53', 'C55')
44,('C12824', 'C2626', 'C381', 'C53', 'C70', 'C79')
45,('C12824', 'C2598', 'C381', 'C53', 'C70', 'C79')
46,('C12824', 'C3550', 'C3561', 'C53', 'C559', 'C66')
47,('C12824', 'C2626', 'C53', 'C66', 'C815', 'C819')
48,('C12824', 'C1781', 'C2598', 'C4341', 'C53', 'C66')
49,('C12824', 'C16157', 'C3537', 'C3550', 'C53', 'C66')
50,('C12824', 'C3550', 'C3562', 'C53', 'C559', 'C66')
51,('C12824', 'C2703', 'C3550', 'C3557', 'C53', 'C66')
52,('C12824', 'C1781', 'C3550', 'C3561', 'C53', 'C66')
53,('C12824', 'C2598', 'C53', 'C70', 'C742', 'C79')
54,('C12824', 'C3550', 'C3562', 'C53', 'C68')
55,('C12824', 'C2598', 'C53', 'C66', 'C70', 'C742')
56,('C124', 'C12824', 'C2598', 'C53', 'C55', 'C775')
57,('C12824', 'C1952', 'C2598', 'C53', 'C66', 'C775')
58,('C12824', 'C2703', 'C3550', 'C53', 'C70', 'C79')
59,('C12824', 'C2626', 'C381', 'C53', 'C66', 'C70')
60,('C12824', 'C1781', 'C2598', 'C53', 'C66', 'C738')
61,('C124', 'C12824', 'C2626', 'C53', 'C66', 'C819')
62,('C12824', 'C2703', 'C3550', 'C3563', 'C53', 'C66')
63,('C115', 'C12824', 'C2598', 'C53', 'C742', 'C743')
64,('C124', 'C12824', 'C2626', 'C381', 'C53', 'C55')
65,('C12824', 'C3550', 'C3563', 'C53', 'C559', 'C66')
66,('C12824', 'C2622', 'C2626', 'C53', 'C66', 'C70')
67,('C12824', 'C3550', 'C3562', 'C53', 'C559', 'C86')
68,('C12824', 'C2626', 'C381', 'C53', 'C62', 'C70')
69,('C12824', 'C2598', 'C53', 'C66', 'C70', 'C775')
70,('C124', 'C12824', 'C2626', 'C381', 'C53', 'C66')
71,('C12824', 'C2598', 'C3563', 'C53', 'C66', 'C738')
72,('C12824', 'C2598', 'C53', 'C559', 'C738', 'C86')
73,('C12824', 'C2598', 'C3564', 'C53', 'C559', 'C86')
74,('C115', 'C12824', 'C2598', 'C53', 'C55', 'C738')
75,('C12824', 'C3550', 'C3563', 'C4308', 'C53', 'C743')
76,('C12824', 'C137', 'C2626', 'C53', 'C55', 'C819')
77,('C12824', 'C2598', 'C53', 'C68', 'C742')
78,('C115', 'C12824', 'C2598', 'C53', 'C55', 'C742')
79,('C12824', 'C3550', 'C3562', 'C53', 'C66', 'C94')
80,('C12824', 'C2703', 'C3550', 'C53', 'C66', 'C70')
81,('C12824', 'C252', 'C2598', 'C53', 'C62', 'C738')
82,('C12824', 'C1952', 'C2598', 'C53', 'C66', 'C9896')
83,('C124', 'C12824', 'C2598', 'C53', 'C66', 'C738')
84,('C12824', 'C3550', 'C3561', 'C53', 'C582', 'C94')
